Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000126432,PRDX5,53,-1.9643,257,0.71412,49,-2.0846,5,-5.3554,520,2.50856
ENSG00000149806,FAU,52,-3.9513,529,-0.4007,311,-1.2737,1299,1.35995,1131,1.04498
ENSG00000245532,NEAT1,54,-4.7586,1042,-0.2238,390,-1.8208,2936,1.98087,1488,0.42850
ENSG00000251562,MALAT1,3828,-2.1822,11654,-0.4039,17014,0.27304,29307,1.41289,11529,-0.4223
ENSG00000172757,CFL1,4568,2.81526,277,-2.6313,158,-3.4671,1439,0.00878,720,-1.1618
ENSG00000084207,GSTP1,53,-2.9278,353,0.09280,36,-3.5060,824,1.94592,412,0.38050
ENSG00000021300,PLEKHB1,53,-3.3734,239,-1.0779,480,0.11223,321,-0.5908,1165,2.08926
ENSG00000149273,RPS3,53,-3.6256,176,-1.8320,251,-1.2707,1428,2.18777,773,0.69534
ENSG00000048649,RSF1,53,-1.5426,19,-3.0815,120,-0.1932,207,0.84237,270,1.43512
ENSG00000137710,RDX,54,-1.7596,24,-2.9531,195,0.38583,8,-4.5891,511,2.85186
ENSG00000109846,CRYAB,55,-3.0699,84,-2.4338,268,-0.6053,5,-6.3942,1490,3.84936
ENSG00000149294,NCAM1,53,-1.9163,12,-4.0249,137,-0.3947,14,-3.9029,641,3.55855
ENSG00000118058,KMT2A,54,-1.5670,167,0.34258,119,-0.2592,5,-4.9898,347,2.00514
ENSG00000118181,RPS25,52,-4.3620,842,-0.0741,404,-1.2998,1349,0.82822,1740,1.39384
ENSG00000137642,SORL1,52,-1.4081,12,-3.5627,131,0.12476,5,-4.8250,411,3.02337
ENSG00000109971,HSPA8,1333,2.21059,16,-5.1836,131,-2.1596,389,-0.4279,614,0.39223
ENSG00000165478,HEPACAM,54,-1.4214,160,0.43625,110,-0.2431,5,-4.8717,304,1.87881
ENSG00000149557,FEZ1,54,-1.5061,12,-3.6962,124,-0.1459,5,-4.9502,478,3.27681
ENSG00000182667,NTM,53,-2.5097,238,-0.1047,354,0.64225,5,-5.8693,611,1.90985
ENSG00000060237,WNK1,7054,4.83650,12,-7.2934,387,-2.3045,241,-3.0111,345,-2.4771
ENSG00000110799,VWF,52,-4.6323,491,-1.2835,43,-4.9235,4528,4.60452,157,-3.0188
ENSG00000111640,GAPDH,53,-5.4940,754,-1.5597,1170,-0.8566,3450,1.15441,4222,1.63730
ENSG00000111642,CHD4,53,-2.4548,249,0.02303,131,-1.0726,473,1.31844,325,0.51746
ENSG00000111669,TPI1,52,-3.5157,363,-0.5229,194,-1.5384,965,1.37453,878,1.15668
ENSG00000175899,A2M,52,-4.8837,608,-1.2200,38,-5.3498,5294,4.43066,282,-2.4056
ENSG00000178878,APOLD1,54,-3.6122,153,-2.0507,58,-3.5028,2165,4.02368,266,-1.1881
ENSG00000008394,MGST1,52,-0.9655,13,-3.0335,125,0.58786,5,-4.3864,262,2.41806
ENSG00000111716,LDHB,52,-3.5536,540,0.12936,435,-0.2590,350,-0.6273,1139,1.72395
ENSG00000139116,KIF21A,53,-1.9320,21,-3.2664,156,-0.1791,5,-5.2880,628,3.40552
ENSG00000139168,ZCRB1,53,-1.8914,166,-0.0203,230,0.59554,5,-5.1630,385,1.75707
ENSG00000123416,TUBA1B,53,-4.1939,915,0.25473,180,-2.3970,1489,1.25534,1345,1.02832
ENSG00000167552,TUBA1A,55,-3.5055,12,-5.6296,277,-1.0384,488,-0.0839,1726,3.04839
ENSG00000139644,TMBIM6,4482,3.30355,283,-2.4073,223,-2.7646,523,-1.4647,785,-0.8102
ENSG00000185432,METTL7A,52,-2.5221,177,-0.6012,210,-0.3114,80,-1.8672,734,2.49534
ENSG00000063046,EIF4B,53,-1.7542,276,1.15659,108,-0.6169,5,-5.1460,328,1.56958
ENSG00000123349,PFDN5,52,-3.2478,362,-0.2280,268,-0.7363,490,0.32212,884,1.59247
ENSG00000197111,PCBP2,53,-2.1172,343,1.11222,62,-1.8693,41,-2.4876,477,1.93054
ENSG00000135486,HNRNPA1,53,-2.4105,12,-4.5239,232,-0.0422,445,1.25497,446,1.26484
ENSG00000135404,CD63,53,-3.1732,13,-5.1931,68,-2.8028,1351,3.09952,495,0.41382
ENSG00000197728,RPS26,53,-3.7249,34,-4.3928,247,-1.4171,1730,2.56970,830,0.68448
ENSG00000229117,RPL41,52,-5.2634,1330,-0.3644,846,-1.1149,2068,0.43691,3882,1.85319
ENSG00000092841,MYL6,52,-4.0771,364,-1.1629,91,-3.2720,2652,3.44073,468,-0.7558
ENSG00000110955,ATP5F1B,53,-2.5399,181,-0.6057,74,-2.0341,455,1.12973,523,1.45430
