Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000116161,CACYBP,10,-4.4572,572,1.84385,232,0.23482,192,-0.1058,29,-2.9508,176,-0.2387,335,0.82898,65,-1.7632
ENSG00000116147,TNR,10,-3.4446,0,-7.2999,39,-1.6173,235,1.46329,109,0.10788,148,0.62166,335,2.19916,1,-6.2523
ENSG00000116260,QSOX1,10,-3.3789,124,0.39731,134,0.61984,74,-0.4409,30,-1.7860,34,-1.6050,335,2.30101,1,-6.1887
ENSG00000135821,GLUL,157,-1.7684,305,-0.7630,233,-1.2878,1173,1.51964,545,0.16178,1393,1.86735,335,-0.6152,71,-2.9373
ENSG00000135829,DHX9,10,-3.6012,132,0.24654,57,-1.1738,131,0.23054,12,-3.3930,24,-2.3616,335,1.96174,263,1.47133
ENSG00000157064,NMNAT2,10,-3.8463,224,0.85840,285,1.63999,38,-1.9251,7,-4.3189,23,-2.6442,335,1.61346,1,-6.6519
ENSG00000162704,ARPC5,10,-3.6865,12,-3.4588,232,1.39073,149,0.35330,58,-1.1441,53,-1.2689,335,1.83836,1,-6.4918
ENSG00000116741,RGS2,10,-3.4604,246,1.53005,124,0.35590,45,-1.2861,11,-3.3021,29,-1.9152,335,2.17498,1,-6.2680
ENSG00000151414,NEK7,10,-3.2467,35,-1.4257,81,-0.1654,112,0.38241,40,-1.2417,73,-0.3049,335,2.51920,32,-1.5900
ENSG00000118200,CAMSAP2,10,-4.0287,145,-0.0771,256,1.05972,151,-0.0150,120,-0.3743,96,-0.7316,335,1.36895,1,-6.8329
ENSG00000116857,TMEM9,10,-4.4210,516,1.68353,182,-0.1739,73,-1.5519,43,-2.3397,154,-0.4103,335,0.87328,303,0.69551
