gene	module
EIF2S2	15
EPRS	15
FBXO2	15
GARS	15
GCNA	15
IARS	15
IFRD1	15
LSMEM1	15
MARS	15
MRPS6	15
MTHFD2	15
PPP1R15B	15
PTMS	15
RAB12	15
RGMB	15
RHBDD3	15
RMND5A	15
SARS	15
SESN2	15
SLC38A2	15
SLC7A1	15
SLC7A11	15
SLC7A5	15
TARS	15
TCEAL1	15
TIMM44	15
UTP23	15
VASP	15
XPOT	15
YARS	15
ASF1A	16
C9orf78	16
COMMD6	16
COX6C	16
COX7B	16
COX7C	16
CSTB	16
DYNLL1	16
DYNLRB1	16
GNG5	16
GTF3C6	16
HSBP1	16
LDHB	16
LSM3	16
MOB4	16
NDUFA1	16
NDUFA12	16
NDUFA6	16
NDUFB3	16
NDUFB4	16
NDUFS5	16
PCBD1	16
POMP	16
PRDX1	16
SAP18	16
SF3B6	16
SNRPG	16
SOD1	16
TMA7	16
UQCRB	16
UQCRH	16
ACAT2	17
ACSS2	17
DENND5A	17
DHCR24	17
ELOVL5	17
FASN	17
FDFT1	17
FDPS	17
HMGCR	17
HMGCS1	17
HSD17B7	17
IDI1	17
INSIG1	17
KLHL15	17
LDLR	17
MMAB	17
MSMO1	17
MVD	17
NPC1	17
PFKFB2	17
SC5D	17
SCD	17
SMIM20	17
SQLE	17
SREBF2	17
TFRC	17
TMEM41B	17
VWCE	17
YOD1	17
BCOR	18
CSMD1	18
CSNK1E	18
DCAF8	18
GOLGA6L9	18
GRIN1	18
HDAC10	18
INO80D	18
KIFC2	18
LENG8	18
LINGO1	18
MAPK12	18
MAZ	18
MLST8	18
PCED1A	18
PSMB4	18
PTOV1	18
RAB11B	18
RASGEF1B	18
RELA	18
SCNN1D	18
SGTA	18
SLC26A3	18
SLC27A6	18
SRRM3	18
TBC1D10B	18
THOP1	18
UHRF2	18
YJEFN3	18
ABCB9	19
AGMO	19
CA12	19
CCDC129	19
CDH23	19
CYP2J2	19
DGKZ	19
ESYT3	19
FAAH	19
GABBR2	19
HIP1R	19
INPP5D	19
KCNJ16	19
LGR6	19
MRAS	19
NTNG2	19
PDE4D	19
PDZD2	19
PTCH1	19
PTCH2	19
RALYL	19
SEMA3E	19
SH2B2	19
SLC29A4	19
SLC6A11	19
SOX13	19
STK32A	19
FIS1	20
LAMTOR4	20
RACK1	20
RPL13	20
RPL13A	20
RPL18	20
RPL28	20
RPL3	20
RPL7A	20
RPLP0	20
RPS16	20
RPS18	20
